country,date_month_string,monthly_vaccinations_per_country,monthly_vaccinations_per_million_per_country,date_month_number,monthly_vaccinations_globally
Djibouti,2021-08,12959,12931,9,1201442306
Djibouti,2021-09,11129,11106,10,969014866
Djibouti,2021-10,18352,18321,11,805830936
Djibouti,2021-11,6805,6787,12,582593278
Dominica,2021-02,5216,72266,3,170467452
Dominica,2021-03,12262,169895,4,340529467
Dominica,2021-04,10016,138783,5,533501731
Dominica,2021-05,9877,136853,6,792994644
Dominica,2021-06,2720,37689,7,1136984197
Dominica,2021-07,1009,13980,8,1060429251
Dominica,2021-08,2031,28143,9,1201442306
Dominica,2021-09,2985,41356,10,969014866
Dominica,2021-10,6769,93788,11,805830936
Dominica,2021-11,2352,32589,12,582593278
Dominican Republic,2021-02,38284,3496,3,170467452
Dominican Republic,2021-03,848368,77451,4,340529467
Dominican Republic,2021-04,962806,87897,5,533501731
Dominican Republic,2021-05,2302511,210203,6,792994644
Dominican Republic,2021-06,3483858,318051,7,1136984197
Dominican Republic,2021-07,2336792,213333,8,1060429251
Dominican Republic,2021-08,1097837,100225,9,1201442306
Dominican Republic,2021-09,772534,70528,10,969014866
Dominican Republic,2021-10,1378762,125871,11,805830936
Dominican Republic,2021-11,418383,38195,12,582593278
Ecuador,2021-01,12000,670,2,93138028
Ecuador,2021-02,55914,3127,3,170467452
Ecuador,2021-03,369602,20663,4,340529467
Ecuador,2021-04,888606,49674,5,533501731
Ecuador,2021-05,1439964,80498,6,792994644
Ecuador,2021-06,1870917,104586,7,1136984197
Ecuador,2021-07,6991388,390830,8,1060429251
Ecuador,2021-08,7310363,408663,9,1201442306
Ecuador,2021-09,1784231,99741,10,969014866
Ecuador,2021-10,1698374,94942,11,805830936
Ecuador,2021-11,533467,29822,12,582593278
Egypt,2021-01,1918,18,2,93138028
Egypt,2021-02,75841,728,3,170467452
Egypt,2021-03,118372,1137,4,340529467
Egypt,2021-04,738914,7085,5,533501731
Egypt,2021-05,1522030,14595,6,792994644
Egypt,2021-06,1796383,17233,7,1136984197
Egypt,2021-07,1163262,11155,8,1060429251
Egypt,2021-08,3352992,32161,9,1201442306
Egypt,2021-09,7414909,71121,10,969014866
Egypt,2021-10,11142756,106873,11,805830936
Egypt,2021-11,6019685,57739,12,582593278
El Salvador,2021-02,17248,2646,3,170467452
El Salvador,2021-03,62359,9565,4,340529467
